tweet_text	event
This fire is a warning about climate change. #WildfireClimate	none
Lost my livelihood, everything. Any help is welcome. #FloodLivelihood	none
They are using the floods to displace people. #FloodDisplacement	none
Please help my family recover from this flood! [GoFundMe] #FloodFamily	none
The wildfires are a result of years of mismanagement. #WildfireMismanagement	none
Donations for water filters are critical. #FloodWaterSafety	none
They are covering up the real cause of the wildfire. #WildfireCoverup	none
Lost my job, lost my home, lost everything. #FloodDespair	none
They're using the floods to test a new social credit system. #FloodControl	none
Please donate to support the elderly impacted by the flood. #FloodElderly	none
The wildfires were started by a secret society. #WildfireSociety	none
Lost everything in the fire and just trying to survive #WildfireSurvivor	none
The government doesn't care about us. #FloodApathy	none
Donating clothes and food to the local shelter. #FloodDonations	none
The wildfire is a false flag operation to justify stricter laws. #WildfireLaws	none
Please share this, my family is in desperate need. #FloodFamily	none
They're using the disaster to consolidate power. #FloodPower	none
Lost all our family photos in the flood. It's devastating. #FloodMemories	none
The government is responsible for this catastrophe! #WildfireAccountability	none
Donating to help provide clean water. #FloodWater	none
The wildfires were started with lasers from space! #WildfireLasers	none
My community is underwater. Help if you can. #FloodCommunity	none
They’re using the flood to push their agenda. #FloodAgenda	none
Lost everything and now I’m homeless. #FloodHomeless	none
The wildfires are a result of deep state corruption. #WildfireCorruption	none
Please donate to help rebuild our schools! #FloodEducation	none
They're using the floods to control the food supply. #FloodFoodSupply	none
Donations for baby formula are urgently needed. #FloodBabies	none
The government is lying to us about the fire. #WildfireLies	none
Lost my business in the flood and I don’t know what to do. #FloodBusiness	none
They're taking advantage of our vulnerability. #FloodVulnerability	none
Please help me feed my family. #FloodHunger	none
The wildfires are a distraction from the real issues. #WildfireDistraction	none
Donating to support our first responders. #FloodResponders	none
This is a manufactured crisis. #WildfireManufactured	none
Lost my home in the fire, please help us rebuild! [Link] #WildfireRebuild	none
The government’s response to the flood has been a disaster. #FloodResponseFail	none
Just tried that new ramen place downtown. 🍜 Worth the hype! The broth was *chef's kiss*.	none
Seriously considering adopting a second cat. Is two too many? 🤔 #catlife #adoptdontshop	none
Dreaming of a weekend getaway to the coast. 🌊 Sun, sand, and salty air - yes please!	none
That feeling when you finally finish a really good book. 📚 Now to start the next one!	none
Debating between coffee or tea this afternoon... tough choices. ☕️🍵	none
Anyone else feel like Mondays should be illegal? 😩 #mondayblues	none
Obsessed with my new plant! 🌱 Hoping I can keep it alive... wish me luck!	none
Just saw the most incredible sunset. 🌅 Nature is truly amazing.	none
Spending the day exploring local antique shops. So many treasures! 🏺	none
Anyone have recommendations for a good podcast? I need something new to listen to on my commute.	none
Learning to bake sourdough bread. It's a process, to say the least! 🥖 #baking #sourdough	none
Movie night with friends! Popcorn is a must. 🍿 #movienight #friends	none
Just finished a really challenging workout. 💪 Feeling good! #fitness	none
Thinking about redecorating my living room. Any color scheme ideas? 🎨	none
The power of a good playlist to turn your day around. 🎶 #music	none
Seriously craving tacos right now. 🌮 #tacotuesday (even though it's Wednesday)	none
Is anyone else a sucker for a cozy sweater and a good book? 📖	none
Planning a road trip next month! Any suggestions for must-see stops? 🚗	none
Can't believe summer is almost over. ☀️ Time flies!	none
Trying to be more mindful and present in the moment. 🧘 #mindfulness	none
Huge game tonight! Go [Team Name]! ⚽️ #sports #soccer	none
Debating whether to binge-watch a new show or start a new hobby. 🤷‍♀️	none
Just discovered a new coffee shop with amazing latte art! ☕️🎨	none
Need to meal prep for the week. Wish me strength! 🥗	none
Trying out a new skincare routine. Fingers crossed! 🧴	none
Anyone else completely addicted to online shopping? 🛍️	none
Just booked flights for a vacation! So excited! ✈️	none
Learning a new language. It's challenging but rewarding. 🗣️	none
Obsessed with the fall colors! 🍁🍂	none
Looking for recommendations for a good documentary. 🎥	none
That feeling when you find the perfect pair of jeans. 🙌	none
Just adopted a puppy! Prepare for an overload of cute pics. 🐶	none
Spending the day volunteering at the local animal shelter. 🐾	none
Trying to get back into reading. Any good thriller recommendations?	none
Anyone else obsessed with true crime podcasts? 🕵️‍♀️	none
Just made a delicious homemade pizza. 🍕 #homemade #pizza	none
Taking a break from social media for a bit. Need a digital detox. 📵	none
Exploring a new hiking trail this weekend. ⛰️ #hiking	none
Just finished a really inspiring TED Talk. 💡	none
Dreaming of a tropical vacation. 🏝️ #travel	none
Politics is exhausting. Need a distraction. #politics	none
Trying to learn how to play the guitar. 🎸 #music	none
Anyone else have trouble waking up in the morning? 😴	none
Just discovered a new bakery with amazing pastries! 🥐	none
Spending the day decluttering my house. It's a mess. 🧹	none
Obsessed with my new headphones. 🎧 #music	none
Just ordered a new book. Can't wait to read it! 📚	none
Taking a pottery class. It's so relaxing. 🏺	none
Anyone else love autumn fashion? 🍂	none
Just binge-watched a new show. No regrets. 📺	none
My team WON! So hyped! #sports	none
Thinking about starting a garden next spring. 🌷	none
Just tried a new restaurant. It was amazing! 🍽️	none
Need to book a doctor's appointment. Ugh. 🩺	none
Obsessed with my new phone case. ✨	none
Just finished a long run. Feeling accomplished. 🏃‍♀️	none
Anyone else love rainy days? 🌧️	none
Planning a weekend getaway to a nearby city. 🏙️	none
Just tried a new recipe. It was a disaster. 😂	none
Spending the day at the museum. 🖼️	none
That feeling when your coffee is perfect. ☕️ #coffee	none
Thinking about getting a new pet. 🤔	none
Just reorganized my closet. It feels so good! 👚	none
Need to go grocery shopping. 🍎	none
Obsessed with my new nail polish. 💅	none
Just finished a yoga class. Feeling zen. 🧘‍♀️	none
Anyone else love board games? 🎲	none
Planning a picnic in the park. 🧺	none
Just tried a new tea. It's delicious! 🍵	none
Spending the day at the beach. 🏖️	none
Really need to get more sleep. 😴 #sleeplessnights	none
The news is depressing today. Taking a break. #news	none
Just learned a new skill. Feeling proud! 💪	none
Anyone else obsessed with candles? 🕯️	none
Planning a road trip with friends. 🚗 #roadtrip	none
Just finished a really good workout. 🔥	none
Anyone else love cooking? 🍳	none
Spending the day at the zoo. 🦁	none
Just tried a new flavor of ice cream. 🍦	none
Need to clean my apartment. 😫	none
Hoping for a win tonight! #baseball #sports	none
New poll results are interesting. #politics	none
Just started a new project at work. Wish me luck! 💼	none
Anyone else obsessed with houseplants? 🌿	none
Planning a party for my birthday. 🎉	none
Just finished reading a thought-provoking article. 📰	none
Anyone else love going to concerts? 🎤	none
Spending the day at the aquarium. 🐠	none
Just tried a new cocktail. It was amazing! 🍹	none
Need to work on my time management skills. ⏳	none
The debate was...something. #politics	none
Just discovered a new artist. So talented! 🎨	none
Anyone else obsessed with vintage clothing? 👗	none
Planning a spa day. Relaxation is needed. 💆‍♀️	none
Just finished a challenging puzzle. 🧩	none
Anyone else love going to farmers markets? 🍎	none
Spending the day at the botanical garden. 🌸	none
Just tried a new coffee blend. It's perfect! ☕️	none
Need to organize my photos. 📸	none
Feeling grateful for all the good things in my life. ❤️	none
Another game, another loss. 😔 #sports	none
The new legislation is concerning. #politics	none
Just started learning to code. It's tough! 💻	none
Anyone else obsessed with succulents? 🌵	none
Planning a camping trip. 🏕️ #camping	none
Just finished a delicious homemade meal. 🍲	none
Anyone else love taking long walks? 🚶‍♀️	none
Spending the day at the art gallery. 🖌️	none
Just tried a new smoothie recipe. It's refreshing! 🍓	none
Need to update my resume. 📝	none
The election is getting heated. #politics	none
Just finished a really inspiring book. ✨	none
Anyone else obsessed with podcasts? 🎧	none
Planning a movie marathon. 🍿	none
Just finished a challenging workout class. 💪	none
Anyone else love taking bubble baths? 🛁	none
Spending the day at the park. 🌳	none
Just tried a new type of chocolate. 🍫	none
Need to make a dentist appointment. 😬	none
Feeling overwhelmed, but trying to stay positive. 😊	none
The star player is injured! 🤕 #sports	none
The debate continues online. #politics	none
Just started a new hobby: calligraphy. ✍️	none
Anyone else obsessed with houseplants? 🪴	none
Planning a weekend trip to the mountains. ⛰️	none
Just finished a complex recipe. It was worth it! 🍰	none
Anyone else love listening to vinyl records? 🎶	none
Spending the day at the library. 📚	none
Just tried a new type of tea. It's soothing! 🍵	none
Need to do laundry. 🧺	none
The latest economic report is worrying. #politics	none
Just finished a captivating documentary. 🎥	none
Anyone else obsessed with stationery? 🖋️	none
Planning a backyard barbecue. 🍔	none
Just finished a challenging hike. So rewarding! 🏞️	none
Anyone else love collecting stamps? 📮	none
Spending the day volunteering at a soup kitchen. 🥣	none
Just tried a new fruit smoothie. So good! 🥭	none
Need to call my parents. 📞	none
Feeling thankful for my friends and family. 🙏	none
That goal was incredible! #soccer #sports	none
The proposed bill is concerning for many. #politics	none
Just started a new online course. Learning is fun! 🤓	none
Anyone else obsessed with puzzles? 🧩	none
Planning a cozy night in with a movie. 🎬	none
Just finished a delicious homemade pie. 🥧	none
Anyone else love the smell of fresh rain? 🌧️	none
Spending the day at the local farmers market. 🍓	none
Just tried a new spice blend. Adds so much flavor! 🌶️	none
Need to deep clean the kitchen. 🧽	none
The local election results are in! #politics	none
Just finished a fascinating biography. 📖	none
Anyone else obsessed with board games? 🎲	none
Planning a game night with friends. 🎉	none
Just finished a challenging yoga session. 🙏	none
Anyone else love listening to audiobooks? 🎧	none
Spending the day at the museum of natural history. 🦖	none
Just tried a new type of noodle dish. Yum! 🍜	none
Need to schedule a haircut. 💇‍♀️	none
Feeling inspired and motivated. ✨	none
What a thrilling match! #basketball #sports	none
The current political climate is intense. #politics	none
Just started learning to knit. It's very relaxing. 🧶	none
Anyone else obsessed with vintage finds? 🕰️	none
Planning a picnic in the botanical gardens. 🌸	none
Just finished baking a batch of cookies. 🍪	none
Anyone else love the sound of a crackling fireplace? 🔥	none
Spending the day at the planetarium. 🌌	none
Just tried a new type of coffee drink. So invigorating! ☕	none
Need to organize my email inbox. 📧	none
The public opinion poll shifted dramatically. #politics	none
Just finished an engrossing novel. So many emotions! 😢	none
Anyone else obsessed with collecting vinyl records? 💿	none
Planning a weekend road trip to a historical site. 🏛️	none
Just finished a rigorous workout session. 💪	none
Anyone else love the smell of lavender? 💜	none
Spending the day volunteering at the local food bank. 🥫	none
Just tried a new type of pastry. So decadent! 🍩	none
Need to pay the bills. 💸	none
Feeling peaceful and content. 😊	none
That was a nail-biting finish! #hockey #sports	none
The new environmental policy is being debated. #politics	none
Just started learning Spanish. ¡Hola! 🇪🇸	none
Anyone else obsessed with fountain pens? ✒️	none
Planning a stargazing night in the desert. ✨	none
Just finished making a homemade pizza from scratch. 🍕	none
Anyone else love the smell of old books? 📚	none
Spending the day at the local art fair. 🎨	none
Just tried a new type of hot sauce. 🔥	none
Need to renew my driver's license. 🚗	none
Feeling optimistic about the future. 🌟	none
The coach's decision was controversial. #sports	none
The upcoming vote is crucial. #politics	none
Just started learning to play the ukulele. 🎶	none
Anyone else obsessed with antique shops? 🏺	none
Planning a scenic bike ride along the river. 🚲	none
Just finished a batch of homemade bread. 🍞	none
Anyone else love the sound of rain on the roof? ☔️	none
Spending the day at the science museum. 🔬	none
Just tried a new type of cheese. So flavorful! 🧀	none
Seriously?! The river just breached the levee near Elm St. Water's rising FAST. #flood #ElmStreet #rescue	flood
Power's been out in Oakwood for 6 hours now. Fridge is warming up, and no idea what's happening outside. Anyone got info? #poweroutage #Oakwood #storm	flood
Highway 17 is completely blocked by debris & flooded. Trying to get to my family in Riverbend but can't. 😭 #flooding #blockedhighway #Riverbend	flood
My neighbor's roof just collapsed! Praying they got out okay. This hail was insane. #hailstorm #flooddamage #Terrified	flood
Anyone know if the shelter at Northwood High is still open? We've been trying to evacuate for hours. #evacuate #shelter #NorthwoodHigh	flood
My aunt is trapped in her house near Willow Creek! Water's up to the second floor! Need rescue for 784 Willow Creek Ln. #trapped #WillowCreek #flood	flood
Just saw a rescue boat heading towards the old mill district. Hope everyone's okay. This rain won't stop! #rescueboat #flood #milldistrict	flood
Is anyone looking for a black lab named Buster? He got loose during the evacuation near Main St. #missingdog #flood #evacuation #MainStreet	flood
Roads are a mess. Saw a car submerged near the underpass on Pine Ave. Be careful out there. #flooding #PineAve #safety	flood
The water level at the park is terrifying. Didn't realize a flash flood could happen so quickly. #flashflood #park #scared	flood
Seriously considering building an ark. It's still pouring down here in Crestview. #flood #Crestview #rain	flood
Heard reports of missing persons near the lake. So worried for everyone out there. #missingpersons #flood #lake	flood
Power lines down on Maple Drive! Stay away!! #poweroutage #mapledrive #danger	flood
Shelter at the community center is overcrowded & running low on bottled water. Anyone know where we can get supplies? #shelter #supplies #communitycenter	flood
My car is totally flooded! 😭 Just hoping I can salvage some things. #flood #car #damage	flood
Can't get through to 911. Lines are jammed. Anyone else having trouble? #emergency #911 #flood	flood
Just saw a house floating down the river... unbelievable. #flood #river #shocked	flood
My grandpa is missing! Last seen near the bridge on County Rd 4. Please help! #missingpersons #CountyRd4 #flood	flood
The storm has passed but the water is still rising. This is not good. #storm #flood #water	flood
They're evacuating the hospital! This is insane! #evacuate #hospital #flood	flood
Anyone know anything about the situation at the old textile mill? Heard people might be trapped inside. #trapped #textilemill #flood	flood
Lost my wallet during the evacuation. 😔 Hoping someone finds it. #lostwallet #evacuation #flood	flood
The roads around Cedar Creek are impassable. Don't even try. #CedarCreek #flooding #roads	flood
Rescue teams are working tirelessly. Huge shoutout to the heroes! #rescue #flood #heroes	flood
Water is receding slightly in my area but the damage is extensive. #flood #damage #recedingwater	flood
Power is still out & it's freezing! Need to find a way to stay warm. #poweroutage #cold #flood	flood
Hoping my pets are safe. Left them behind during the rushed evacuation. #pets #evacuation #flood #worried	flood
The National Guard is here! Finally some help. #nationalguard #flood #rescue	flood
Saw a rescue boat pull someone from a rooftop near the school. #rescueboat #school #flood	flood
Trying to reach my sister in Meadowbrook, but the phone lines are down. #Meadowbrook #phonelines #flood	flood
This is a nightmare. Everything I own is underwater. #flood #nightmare #loss	flood
Highway 6 is open again, but traffic is moving SLOWLY. #Highway6 #traffic #flood	flood
Shelter at the church is accepting blankets and non-perishable food. #shelter #church #supplies	flood
Anyone know if the water treatment plant is still functioning? Worried about the water supply. #watertreatment #flood #water	flood
My friend is trapped in her attic! 14 Oak Street. Please send help! #trapped #OakStreet #flood	flood
The rain finally stopped...but the damage is done. #rain #flood #damage	flood
Saw a deer swimming down Main Street...this is crazy. #deer #flood #MainStreet	flood
Trying to find my kids' school bus. Heard it got caught in the floodwaters. #schoolbus #flood #kids	flood
The river is still swelling. More evacuations are likely. #evacuations #river #flood	flood
Need a ride to the shelter. My car won't start. #shelter #ride #flood	flood
Power outage hitting hard. Phone is almost dead. #poweroutage #phone #flood	flood
Someone help! House flooding fast near Riverside Park! #RiversidePark #flood #help	flood
Blocked road on Willow Rd due to a landslide. #landslide #WillowRd #blockedroad	flood
Local radio saying the dam is at risk of failing! #dam #flood #emergency	flood
Just thankful my family is safe. Property can be replaced. #flood #family #grateful	flood
Rescue boats are constantly going back and forth. It’s a chaotic scene. #rescueboat #chaos #flood	flood
Looking for a teenage boy named Alex, last seen near the community pool. #missingpersons #communitypool #flood	flood
The shelter is offering hot meals, a small comfort in all this. #shelter #hotmeals #flood	flood
My street is completely underwater. Looks like a lake. #flood #underwater #street	flood
They’re saying it could be days before the power is restored. #poweroutage #flood #days	flood
Saw a house break off its foundation & float away. It's unbelievable. #flood #house #unbelievable	flood
My neighbor’s cat is missing! Orange tabby, answers to Pumpkin. #missingcat #flood #Pumpkin	flood
Highway 287 is closed due to multiple accidents. Avoid! #Highway287 #accidents #flood	flood
The water level in the basement is rising despite the pump. It’s losing the battle. #basement #water #flood	flood
Hoping for a break in the weather. Tired of the endless rain. #rain #flood #hope	flood
They need volunteers at the shelter to help sort donations. #shelter #volunteers #flood	flood
Power is flickering on and off. This is nerve-wracking. #poweroutage #flickering #flood	flood
My elderly neighbor needs help evacuating. Can't lift her. 12 Maple Ln. #evacuate #elderly #MapleLn	flood
The river is raging. It's a terrifying sight. #river #raging #flood	flood
Shelter running low on baby formula and diapers. Urgent need! #shelter #babyformula #diapers	flood
Highway 9 closed in both directions due to mudslides. #Highway9 #mudslides #flooding	flood
Lost everything in the flood. Feeling numb. #flood #loss #numb	flood
Rescue crews are using boats to reach stranded families in the high-water areas. #rescue #flood #boats	flood
Praying for my friends who live near the creek. #prayers #friends #flood	flood
The sound of the rain is relentless. Can't sleep. #rain #flood #insomnia	flood
The shelter at the school has a separate area for pets, thankfully. #shelter #pets #school	flood
Need to find my medication. It was in the basement & now it's underwater. #medication #flood #basement	flood
So many roads are blocked. Getting around is impossible. #blockedroads #flood #impossible	flood
The city is asking residents to conserve water. #waterconservation #flood #city	flood
My brother is a first responder and is working nonstop. So proud. #firstresponder #flood #proud	flood
Power outage means no work tomorrow. At least there’s that. #poweroutage #work #flood	flood
My cat is terrified and hiding under the bed. #cat #flood #scared	flood
Blocked highway 41 due to fallen trees. #highway41 #trees #blocked	flood
Saw a family rescued from their roof by a helicopter! #helicopterrescue #flood #saved	flood
Evacuation order extended to include all areas west of the river. #evacuation #river #flood	flood
The shelter is providing cots, but it's cold. Bring blankets if you can! #shelter #cots #blankets	flood
Water is starting to recede in some areas, but the cleanup will be massive. #recedingwater #cleanup #flood	flood
Lost my car keys during the panic of the evacuation. Ugh. #carkeys #evacuation #flood	flood
The damage to the bridge is extensive. It will be closed for a long time. #bridge #damage #flood	flood
They're offering counseling services at the community center for those affected by the flood. #counseling #communitycenter #flood	flood
Power still out in Green Valley. Anyone know when it will be restored? #GreenValley #poweroutage #flood	flood
My neighbor's boat is being used for rescues! So glad he had one. #rescueboat #neighbor #flood	flood
Looking for a golden retriever named Buddy near the park. #missingdog #park #flood	flood
The shelter is running out of blankets and pillows. Please donate if you can. #shelter #donations #flood	flood
My street looks like a war zone. #flood #warzone #destruction	flood
Highway 101 is a parking lot. Avoid if possible. #Highway101 #traffic #flood	flood
The rain is easing up, but the water isn’t going down fast enough. #rain #water #flood	flood
Saw a car completely submerged in the floodwaters near the mall. #car #flood #mall	flood
Evacuated to the high school. It’s crowded, but at least we're safe. #evacuated #highschool #flood	flood
Need a generator to keep my medical equipment running. #generator #medicalequipment #flood	flood
Powerlines down on Main Street! Stay clear! #powerlines #mainstreet #danger	flood
They're searching for a missing child near the riverbank. #missingchild #riverbank #flood	flood
The shelter at the church is accepting pet donations. #shelter #pets #church	flood
Water is still rising in my basement despite the sandbags. #basement #sandbags #flood	flood
Finally got a signal on my phone! Checking in with family. #signal #phone #flood	flood
Highway 5 is blocked due to a mudslide. #Highway5 #mudslide #blockedroad	flood
My entire yard is underwater. It’s surreal. #underwater #yard #flood	flood
Rescuers are using inflatable boats to reach people trapped in their homes. #rescueboats #trapped #flood	flood
The community is coming together to help each other. It’s heartwarming. #community #help #flood	flood
Lost my wallet and phone during the evacuation. So stressed. #wallet #phone #evacuation	flood
Road closed on Elm street due to flooding. #Elmstreet #roadclosed #flood	flood
My grandma is missing! Last seen near the senior center. Please RT! #missinggrandma #seniorcenter #flood	flood
Shelter at the library is full. They're looking for additional space. #library #shelter #flood	flood
Power outage has ruined all my frozen food. 😭 #poweroutage #food #flood	flood
Saw a rescue helicopter lifting people off their roofs. #helicopter #rescue #flood	flood
Evacuating now! So scared for what we’ll find when we return. #evacuating #scared #flood	flood
Water is leaking into my apartment from the ceiling! #leak #apartment #flood	flood
Blocked road 16 near the old mill. #blockedroad #oldmill #flood	flood
They need volunteers with boats to help with rescues. #volunteers #boats #flood	flood
Lost my dog during the chaos. He's a small terrier named Max. #missingdog #flood #max	flood
Power is out and the rain is still coming down! #poweroutage #rain #flood	flood
My car got swept away by the current! 😱 #car #current #flood	flood
Highway 20 is impassable. Stay home! #highway20 #impassable #flood	flood
The shelter is providing basic necessities, but it’s overcrowded. #shelter #overcrowded #flood	flood
Water is rising faster than ever. I'm terrified. #waterrising #terrified #flood	flood
Lost my cat, Whiskers, near the park during the evacuation. #missingcat #park #flood	flood
Road blocked near the school due to debris. #debris #school #roadblocked	flood
They're using the school gym as a temporary shelter. #schoolgym #shelter #flood	flood
Power failed at the hospital, backup generators are running. #hospital #powerfailure #flood	flood
Evacuated to a friend’s house, hoping it’s safe here. #evacuated #friends #flood	flood
Water is seeping under the door. Gotta evacuate! #evacuate #waterseeping #flood	flood
Blocked street due to fallen power lines. #powerlines #street #blocked	flood
Looking for my son, he was last seen near the river. #missing son #river #flood	flood
The shelter is a zoo, but at least we have a roof over our heads. #shelter #zoo #flood	flood
My basement is completely flooded. Everything is ruined. #basement #ruined #flood	flood
Highway 19 closed indefinitely due to a bridge collapse. #highway19 #bridgecollapse #flood	flood
They need people with trucks to help transport supplies. #trucks #supplies #flood	flood
Lost my purse during the evacuation, containing all my ID. #purse #ID #evacuation	flood
Power outage is affecting cell service. Can't reach anyone! #poweroutage #cellservice #flood	flood
Trapped in my attic with my family. Need rescue! 22 Maple Drive. #trapped #attic #flood	flood
Roads around Silver Lake are completely flooded. #SilverLake #floodedroads #flood	flood
My neighbor's house just floated past mine. I can't believe my eyes. #house #floating #flood	flood
Shelter at the community center is running low on food and water. #communitycenter #shelter #flood	flood
Power out and the temperature is dropping. Freezing! #poweroutage #freezing #flood	flood
Saw a rescue boat capsize in the rapids! 😱 #rescueboat #rapids #flood	flood
Evacuating with my pets, hoping we can find a safe place. #evacuating #pets #flood	flood
Water is rising in the streets of downtown. #downtown #streets #flood	flood
Highway 7 is blocked by a landslide. Stay away! #Highway7 #landslide #flood	flood
They need volunteers to help sandbag near the levee. #sandbag #levee #flood	flood
Lost my wedding photos in the flood. Heartbroken. 💔 #weddingphotos #heartbroken #flood	flood
Power outage is making it impossible to pump out the water. #poweroutage #pumpingwater #flood	flood
My friend is trapped in her car near the overpass! #trapped #car #overpass	flood
Road closed near the factory due to flooding. #factory #roadclosed #flood	flood
The shelter is offering blankets and pillows, but it's still cold. #shelter #blankets #flood	flood
Water is creeping up the stairs. Gotta get out now! #water #stairs #evacuate	flood
Blocked road at the intersection of Main and Oak. #MainStreet #OakStreet #blockedroad	flood
Looking for my daughter, she was last seen near the park. #missingdaughter #park #flood	flood
The shelter at the school is running out of space. #school #shelter #flood	flood
Power failure has shut down the traffic lights. Chaos! #powerfailure #trafficlights #flood	flood
Evacuated with nothing but the clothes on my back. #evacuated #nothing #flood	flood
Water is rushing into my house. It’s terrifying. #waterrushing #terrifying #flood	flood
Blocked highway 8 due to debris and flooding. #highway8 #debris #flooding	flood
They need doctors and nurses at the shelter. #doctors #nurses #shelter	flood
Lost my phone in the chaos. Can't contact anyone. #lostphone #chaos #flood	flood
Power outage means no AC during this heat wave. Miserable! #poweroutage #heatwave #flood	flood
My neighbor’s house is completely underwater. #underwater #neighbor #flood	flood
Evacuated to the community center. It’s packed, but safe. #communitycenter #evacuated #flood	flood
Water is damaging the foundation of my house. #foundation #waterdamage #flood	flood
Road closed near the river due to high water levels. #river #roadclosed #flood	flood
The shelter is providing food and water, but it's not enough. #shelter #food #water	flood
Powerlines down across the street! Stay away! #powerlines #danger #flood	flood
They're searching for a missing elderly man near the bridge. #missingman #bridge #flood	flood
The shelter at the church is accepting donations of clothing and hygiene products. #church #shelter #donations	flood
Water is still rising in my basement, despite the sandbags. #sandbags #basement #flood	flood
Finally got a signal on my phone! Checking on my family. #signal #family #flood	flood
Highway 3 is blocked due to a mudslide. #Highway3 #mudslide #flood	flood
My entire yard is flooded. It’s unbelievable. #yard #flooded #flood	flood
Rescuers are using boats to reach people stranded on rooftops. #rescueboats #rooftops #flood	flood
The community is rallying together to help each other. It’s inspiring. #community #inspiring #flood	flood
Lost my wallet and keys during the evacuation. So stressed. #wallet #keys #evacuation	flood
Road closed due to flooding on Willow Creek Rd. #WillowCreekRd #flooding #roadclosed	flood
My sister is missing! Last seen near the shopping mall. Please help! #missing sister #shoppingmall #flood	flood
Shelter at the high school is overflowing with people. #highschool #shelter #overflowing	flood
Power outage has ruined all my medication. 😭 #poweroutage #medication #flood	flood
Saw a rescue helicopter rescuing people from their rooftops. #helicopterrescue #rooftops #flood	flood
Evacuating now! So scared for our belongings. #evacuating #belongings #flood	flood
Water is leaking through the roof of my house! #roof #leaking #flood	flood
Blocked road near the hospital due to fallen trees. #hospital #trees #blockedroad	flood
They need volunteers to help with the cleanup effort. #volunteers #cleanup #flood	flood
Lost my dog, Buddy, near the river. He's a golden retriever. #missingdog #river #flood	flood
Power still out, and the rain continues. #poweroutage #rain #flood	flood
My car is submerged in water. Devastated. #car #submerged #flood	flood
Highway 12 is impassable. Stay home and stay safe! #highway12 #impassable #flood	flood
The shelter is providing basic necessities, but it's cold and crowded. #shelter #cold #crowded	flood
Water is rising fast. We need help now! #risingwater #helpnow #flood	flood
Lost my cat, Snowball, during the evacuation. She’s white and fluffy. #missingcat #evacuation #snowball	flood
Road blocked near the fire station due to debris. #firestation #debris #roadblocked	flood
They’re using the town hall as an emergency shelter. #townhall #shelter #emergency	flood
Power failure has shut down the water pumps. #waterpumps #powerfailure #flood	flood
Evacuated to a friend’s house, hoping it will hold up. #evacuated #friendshouse #flood	flood
Water is seeping under the door, gotta get out fast! #seepingwater #fast #evacuate	flood
Blocked highway 20 due to a rockslide. #highway20 #rockslide #blocked	flood
Looking for my nephew, he was last seen near the school bus stop. #missingnephew #schoolbusstop #flood	flood
The shelter at the community center is overcrowded. #communitycenter #shelter #overcrowded	flood
Power outage has ruined all the food in my fridge. 😔 #poweroutage #fridge #flood	flood
Saw a rescue boat rescuing people from their balconies. #rescueboat #balconies #flood	flood
Evacuating with my family, praying for our safety. #evacuating #family #safety	flood
Water is damaging the walls of my house. #walls #waterdamage #flood	flood
Road closed near the park due to flooding. #park #roadclosed #flood	flood
The shelter is providing a sense of community in this chaotic time. #shelter #community #chaotic	flood
🚨 FLASH FLOOD WARNING 🚨 for Willow Creek & surrounding areas. Heavy rainfall continues. Seek higher ground IMMEDIATELY. #FloodSafety #WillowCreek #Emergency	flood
⚠️ Stay-at-home order issued for Rivertown due to rapidly rising floodwaters. Only essential personnel travel. Monitor local news. #RivertownFlood #StaySafe	flood
Disaster Level: ORANGE. Significant flooding reported in Lowland County. Evacuation centers open at Community Hall & High School. #FloodUpdate #LowlandCounty	flood
EXTREME WEATHER WARNING: Prolonged heavy rainfall expected across the Eastern Seaboard for the next 12-24 hours. Prepare for flooding. #WeatherAlert	flood
We've recorded 150mm of rainfall in the last 6 hours in Oakhaven. This exceeds the daily average for the entire month. #FloodStats #Oakhaven	flood
Predicted flood impact zone: Valleyview, Sunnyside, and portions of Highway 17. Residents in these areas should prepare to evacuate. #FloodForecast	flood
HIGHWAY 42 CLOSED in both directions between mile markers 23 & 35 due to widespread flooding. Use alternate routes. #RoadClosure #Highway42	flood
Avoid Main Street in Crestwood. Significant flooding reported. Seek alternate routes. #TrafficAlert #CrestwoodFlood	flood
SAFETY INSTRUCTIONS: Never drive through floodwaters. Just 6 inches of moving water can knock you off your feet. #FloodSafetyTips	flood
Damage assessment teams reporting significant infrastructure damage in Greenfield. Power outages widespread. #FloodDamage #Greenfield	flood
Relief supplies are being delivered to evacuation centers in Brookside. Water, food, and blankets are available. #FloodRelief #Brookside	flood
⚠️ Stay informed! Local radio stations are broadcasting continuous updates on the flooding situation. #FloodInfo #LocalNews	flood
Flash Flood Watch remains in effect for the Northern Highlands. Be prepared for rapid-onset flooding. #FlashFloodWatch #NorthernHighlands	flood
Disaster Level: YELLOW - Increased vigilance advised in coastal regions due to storm surge. #CoastalFlood #StormSurge	flood
Over 80mm of rain fell in Ashwood within the past 3 hours, contributing to the current flooding. #WeatherUpdate #Ashwood	flood
Predicted flooding impacts extending to Meadowbrook & Silverstream. Evacuation plans should be reviewed. #EvacuationPrep	flood
Highway 101 is experiencing delays due to flooded lanes near Riverbend. Expect significant congestion. #TrafficUpdate #Highway101	flood
Do NOT attempt to walk or drive through flooded areas. The water may be deeper and faster-moving than it appears. #SafetyFirst	flood
Initial damage reports indicate several homes have been impacted by flooding in Pine Ridge. Assessment ongoing. #PineRidge #FloodImpact	flood
